task,source,subject,pre_acc,pre_auc,rand_acc,rand_auc
left_right,encoder_mean,1,0.7333333333333333,0.7272727272727273,0.4666666666666667,0.39920948616600793
left_right,encoder_mean,2,0.6222222222222222,0.6976284584980237,0.5555555555555556,0.5434782608695652
left_right,encoder_mean,3,0.7111111111111111,0.741106719367589,0.5111111111111111,0.5059288537549407
left_right,encoder_mean,4,0.6666666666666666,0.7727272727272727,0.4222222222222222,0.41699604743083
left_right,encoder_mean,5,0.6,0.6904761904761906,0.5111111111111111,0.5496031746031746
left_right,encoder_mean,6,0.6666666666666666,0.7182539682539683,0.5555555555555556,0.611111111111111
left_right,encoder_mean,7,0.5333333333333333,0.6245059288537549,0.4222222222222222,0.4288537549407115
left_right,encoder_mean,8,0.5555555555555556,0.6067193675889329,0.5333333333333333,0.5830039525691699
left_right,encoder_mean,9,0.5111111111111111,0.5654761904761905,0.4222222222222222,0.45436507936507936
left_right,encoder_mean,10,0.6666666666666666,0.7698412698412699,0.5333333333333333,0.5595238095238095
left_right,encoder_mean,11,0.6666666666666666,0.6877470355731226,0.28888888888888886,0.25889328063241107
left_right,encoder_mean,12,0.6,0.6865079365079365,0.4666666666666667,0.4623015873015874
left_right,encoder_mean,13,0.6666666666666666,0.7529644268774704,0.7111111111111111,0.7272727272727273
left_right,encoder_mean,14,0.4666666666666667,0.49604743083003955,0.4444444444444444,0.3932806324110672
left_right,encoder_mean,15,0.6,0.7391304347826088,0.5777777777777777,0.5948616600790514
left_right,encoder_mean,16,0.4666666666666667,0.5849802371541502,0.5777777777777777,0.5494071146245059
left_right,encoder_mean,17,0.6888888888888889,0.7806324110671937,0.6222222222222222,0.6976284584980238
left_right,encoder_mean,18,0.7777777777777778,0.8399209486166007,0.5111111111111111,0.541501976284585
left_right,encoder_mean,19,0.6,0.6284584980237153,0.5777777777777777,0.616600790513834
left_right,encoder_mean,20,0.6222222222222222,0.683794466403162,0.5333333333333333,0.5513833992094862
left_right,predictor_mean,1,0.5555555555555556,0.6027667984189723,0.6222222222222222,0.5810276679841897
left_right,predictor_mean,2,0.4888888888888889,0.46047430830039526,0.5555555555555556,0.5177865612648223
left_right,predictor_mean,3,0.6222222222222222,0.6225296442687747,0.6444444444444445,0.7154150197628458
left_right,predictor_mean,4,0.7111111111111111,0.6640316205533597,0.5777777777777777,0.5968379446640316
left_right,predictor_mean,5,0.5111111111111111,0.5972222222222222,0.4666666666666667,0.48214285714285715
left_right,predictor_mean,6,0.6888888888888889,0.6964285714285714,0.7333333333333333,0.7718253968253967
left_right,predictor_mean,7,0.4666666666666667,0.5118577075098815,0.5111111111111111,0.5573122529644269
left_right,predictor_mean,8,0.4444444444444444,0.4901185770750988,0.7111111111111111,0.6976284584980237
left_right,predictor_mean,9,0.5555555555555556,0.49007936507936517,0.6222222222222222,0.6349206349206349
left_right,predictor_mean,10,0.6888888888888889,0.7003968253968254,0.5333333333333333,0.5873015873015873
left_right,predictor_mean,11,0.6888888888888889,0.6798418972332015,0.5333333333333333,0.49209486166007904
