checkpoint,task,source,pre_acc,pre_acc_std,pre_auc,rand_acc,rand_auc,delta_pp,delta_auc
clean-lambda-0.0,left_right,encoder_mean,0.5055555555555555,0.018425693279752218,0.51087270217705,0.5111111111111111,0.5220626293995859,-0.5555555555555536,-0.011189927222535867
clean-lambda-0.0,left_right,predictor_mean,0.5055555555555555,0.018425693279752218,0.5420007528703181,0.6,0.6320609040717737,-9.444444444444445,-0.09006015120145561
clean-lambda-0.0,left_right,both_mean,0.5055555555555555,0.018425693279752218,0.5116640002509568,0.6033333333333332,0.6341265920070268,-9.777777777777763,-0.12246259175607
clean-lambda-0.0,rest_vs_activity,encoder_mean,0.5,0.0,0.5,0.5677777777777777,0.6067654320987653,-6.7777777777777715,-0.10676543209876532
clean-lambda-0.0,rest_vs_activity,predictor_mean,0.5,0.0,0.5,0.6188888888888888,0.678641975308642,-11.888888888888882,-0.178641975308642
clean-lambda-0.0,rest_vs_activity,both_mean,0.5,0.0,0.5,0.6394444444444444,0.6921728395061729,-13.944444444444438,-0.19217283950617292
clean-lambda-0.1,left_right,encoder_mean,0.6255555555555555,0.07071940729319806,0.6851390457368718,0.5111111111111111,0.5220626293995859,11.444444444444446,0.16307641633728587
clean-lambda-0.1,left_right,predictor_mean,0.5911111111111109,0.05135208892573931,0.6210925246251333,0.6,0.6320609040717737,-0.8888888888889057,-0.01096837944664042
clean-lambda-0.1,left_right,both_mean,0.6411111111111111,0.06786879135144645,0.695731774264383,0.6033333333333332,0.6341265920070268,3.777777777777791,0.06160518225735623
clean-lambda-0.1,rest_vs_activity,encoder_mean,0.648888888888889,0.0873760144503889,0.7106419753086418,0.5677777777777777,0.6067654320987653,8.111111111111125,0.10387654320987649
clean-lambda-0.1,rest_vs_activity,predictor_mean,0.6299999999999999,0.06868248649122485,0.6850617283950616,0.6188888888888888,0.678641975308642,1.1111111111111072,0.006419753086419622
clean-lambda-0.1,rest_vs_activity,both_mean,0.6577777777777778,0.0832666399786453,0.7200493827160493,0.6394444444444444,0.6921728395061729,1.8333333333333424,0.027876543209876425
clean-lambda-0.3,left_right,encoder_mean,0.6377777777777777,0.05310134731266009,0.6662804285086894,0.5111111111111111,0.5220626293995859,12.666666666666659,0.14421779910910348
clean-lambda-0.3,left_right,predictor_mean,0.5944444444444443,0.05957669608202006,0.6323557782796915,0.6,0.6320609040717737,-0.5555555555555647,0.0002948742079177391
clean-lambda-0.3,left_right,both_mean,0.6355555555555554,0.05506449641495053,0.679126278311061,0.6033333333333332,0.6341265920070268,3.2222222222222263,0.04499968630403417
clean-lambda-0.3,rest_vs_activity,encoder_mean,0.6783333333333332,0.09663952364775086,0.7376296296296296,0.5677777777777777,0.6067654320987653,11.055555555555552,0.1308641975308643
clean-lambda-0.3,rest_vs_activity,predictor_mean,0.6661111111111111,0.09016274722774546,0.7340246913580246,0.6188888888888888,0.678641975308642,4.722222222222228,0.05538271604938261
