task,subject,accuracy,auc
left_right,1,0.6222222222222222,0.6383399209486167
left_right,2,0.6222222222222222,0.7569169960474309
left_right,3,0.6666666666666666,0.7806324110671937
left_right,4,0.5555555555555556,0.5671936758893281
left_right,5,0.6444444444444445,0.7678571428571428
left_right,6,0.7555555555555555,0.8174603174603173
left_right,7,0.6222222222222222,0.7332015810276681
left_right,8,0.5777777777777777,0.6798418972332017
left_right,9,0.7111111111111111,0.7003968253968255
left_right,10,0.6,0.6746031746031745
left_right,11,0.4444444444444444,0.40118577075098816
left_right,12,0.6666666666666666,0.7400793650793651
left_right,13,0.5111111111111111,0.5830039525691699
left_right,14,0.6888888888888889,0.7885375494071146
left_right,15,0.6666666666666666,0.766798418972332
left_right,16,0.4888888888888889,0.5434782608695652
left_right,17,0.6444444444444445,0.7707509881422925
left_right,18,0.6666666666666666,0.8972332015810276
left_right,19,0.6222222222222222,0.691699604743083
left_right,20,0.6888888888888889,0.8320158102766799
rest_vs_activity,1,0.45555555555555555,0.4720987654320988
rest_vs_activity,2,0.5444444444444444,0.5698765432098766
rest_vs_activity,3,0.5222222222222223,0.5520987654320988
rest_vs_activity,4,0.6111111111111112,0.6785185185185185
rest_vs_activity,5,0.6777777777777778,0.7249382716049383
rest_vs_activity,6,0.5444444444444444,0.5288888888888889
rest_vs_activity,7,0.6555555555555556,0.7758024691358024
rest_vs_activity,8,0.7333333333333333,0.8301234567901234
rest_vs_activity,9,0.5555555555555556,0.6019753086419752
rest_vs_activity,10,0.6111111111111112,0.6503703703703703
rest_vs_activity,11,0.5888888888888889,0.5856790123456791
rest_vs_activity,12,0.5222222222222223,0.47604938271604935
rest_vs_activity,13,0.6222222222222222,0.7012345679012345
rest_vs_activity,14,0.5222222222222223,0.5501234567901234
rest_vs_activity,15,0.6333333333333333,0.6735802469135803
rest_vs_activity,16,0.6666666666666666,0.7550617283950618
rest_vs_activity,17,0.5888888888888889,0.7624691358024691
rest_vs_activity,18,0.6555555555555556,0.8474074074074074
rest_vs_activity,19,0.5888888888888889,0.7402469135802469
rest_vs_activity,20,0.7222222222222222,0.7856790123456789
